stock_code,returned_units,signed_return_value_gbp,return_invoices,description,absolute_return_value_gbp
85188A,27,-22.95,2,GREEN METAL SWINGING BUNNY,22.95
90093,27,-22.95,2,CLEAR CRYSTAL STAR PHONE CHARM,22.95
79301,13,-22.95,5,FEATHER HEART LIGHTS,22.95
84678,43,-22.9,5,Unknown product,22.9
23427,4,-22.9,3,STOOL HOME SWEET HOME,22.9
84600,3,-22.85,3,NEW BAROQUE JEWELLERY BOX,22.85
22365,3,-22.65,2,DOORMAT RESPECTABLE HOUSE,22.65
35004G,8,-22.59,5,SET OF 3 GOLD FLYING DUCKS,22.59
82607A,60,-22.5,8,GLASS BONBON JAR PARFUME AUX FLEURE,22.5
45016,172,-22.5,3,Unknown product,22.5
20825,106,-22.5,4,Unknown product,22.5
21620,1505,-22.5,3,check,22.5
21637,157,-22.5,2,Unknown product,22.5
21925,18,-22.5,5,UNION STRIPE CUSHION COVER,22.5
22751,6,-22.5,2,FELTCRAFT PRINCESS OLIVIA DOLL,22.5
21578,292,-22.5,5,Unknown product,22.5
20978,18,-22.5,2,36 PENCILS TUBE SKULLS,22.5
22758,5018,-22.5,4,LARGE PURPLE BABUSHKA NOTEBOOK,22.5
21443,11,-22.5,3,Unknown product,22.5
23525,6,-22.5,1,WALL ART BUFFALO BILL,22.5
23524,6,-22.5,1,WALL ART HORSE & PONY,22.5
TEST001,5,-22.5,4,This is a test product.,22.5
21734,35,-22.5,5,SMALL MARAKESH LANTERN ON STICK,22.5
23523,6,-22.5,1,WALL ART TREASURE AHOY,22.5
23119,36,-22.32,2,PACK OF 6 LARGE FRUIT STRAWS,22.32
22241,18,-22.31,5,GARLAND WOODEN HAPPY EASTER,22.31
22155,123,-22.259999999999998,4,STAR DECORATION RUSTIC,22.259999999999998
22616,72,-22.08,3,PACK OF 12 LONDON TISSUES,22.08
84849B,13,-21.970000000000002,2,FAIRY SOAP SOAP HOLDER,21.970000000000002
84508A,97,-21.9,5,check,21.9
84536B,52,-21.84,3,FAIRY CAKES NOTEBOOK A7 SIZE,21.84
23147,15,-21.75,6,SINGLE ANTIQUE ROSE HOOK IVORY,21.75
22227,33,-21.450000000000003,6,HANGING HEART MIRROR DECORATION,21.450000000000003
84033,13,-21.45,2,FLAG OF ST GEORGE,21.45
21255,143,-21.449999999999996,3,"FRENCH BOTTLE , LAVENDER",21.449999999999996
23232,51,-21.42,3,WRAP VINTAGE LEAF DESIGN,21.42
21153,78,-21.3,4,Unknown product,21.3
47570B,72,-21.3,2,Unknown product,21.3
22497,22,-21.25,3,Unknown product,21.25
90088,48,-21.25,3,Unknown product,21.25
21408,5,-21.25,3,SPOTTY PINK DUCK DOORSTOP,21.25
22852,5,-21.25,2,DOG BOWL VINTAGE CREAM,21.25
35971,17,-21.25,2,ROSE FOLKART HEART DECORATIONS,21.25
85061W,416,-21.25,5,WHITE JEWELLED HEART DECORATION,21.25
21869,142,-21.25,6,Unknown product,21.25
84969,55,-21.25,6,check,21.25
22310,13,-21.249999999999996,2,KNITTED MUG COSY IVORY COLOUR,21.249999999999996
20783,41,-21.12,5,HEART EAR MUFF HEADPHONES,21.12
22441,10,-21.0,5,GROW YOUR OWN BASIL IN ENAMEL MUG,21.0
22706,50,-21.0,2,WRAP COWBOYS,21.0
22704,50,-21.0,2,WRAP RED APPLES,21.0
22711,50,-21.0,2,WRAP CIRCUS PARADE,21.0
22052,150,-21.0,4,Unknown product,21.0
22050,150,-21.0,3,PINK PAISLEY ROSE GIFT WRAP,21.0
21129,3,-20.85,2,SILVER FISHING GNOME,20.85
35648,81,-20.749999999999996,4,check,20.749999999999996
21549,31,-20.650000000000002,5,Unknown product,20.650000000000002
84674,7,-20.650000000000002,3,FLYING PIG WATERING CAN,20.650000000000002
21111,7,-20.650000000000002,2,"SWISS ROLL TOWEL, CHOCOLATE SPOTS",20.650000000000002
22995,49,-20.580000000000002,3,TRAVEL CARD WALLET SUKI,20.580000000000002
47422,49,-20.580000000000002,3,ASSORTED MONKEY SUCTION CUP HOOK,20.580000000000002
22035,309,-20.580000000000002,4,Unknown product,20.580000000000002
22545,49,-20.580000000000002,2,MINI JIGSAW BUNNIES,20.580000000000002
21059,24,-20.4,3,PARTY INVITES DINOSAURS,20.4
22620,16,-20.4,4,4 TRADITIONAL SPINNING TOPS,20.4
21942,24,-20.4,2,SKULLS DESIGN FLANNEL,20.4
22599,24,-20.4,1,CHRISTMAS MUSICAL ZINC STAR,20.4
84507C,10,-20.4,3,BLUE CIRCLES DESIGN MONKEY DOLL,20.4
85188B,94,-20.4,2,Unknown product,20.4
21544,24,-20.4,3,SKULLS WATER TRANSFER TATTOOS,20.4
85124A,34,-20.4,4,damaged,20.4
21092,44,-20.4,3,phil said so,20.4
84761,19,-20.4,2,Unknown product,20.4
21701,94,-20.28,2,No Stock,20.28
21576,9,-20.25,3,LETS GO SHOPPING COTTON TOTE BAG,20.25
85054,47,-20.200000000000003,6,check,20.200000000000003
85064,106,-20.200000000000003,6,CREAM SWEETHEART LETTER RACK,20.200000000000003
21199,48,-20.16,1,PINK HEART CONFETTI IN TUBE,20.16
22816,48,-20.16,2,CARD MOTORBIKE SANTA,20.16
22537,48,-20.16,1,MAGIC DRAWING SLATE DINOSAUR,20.16
22530,48,-20.16,2,MAGIC DRAWING SLATE DOLLY GIRL,20.16
22447,6,-20.1,1,PIN CUSHION BABUSHKA BLUE,20.1
22446,6,-20.1,1,PIN CUSHION BABUSHKA PINK,20.1
22448,6,-20.1,1,PIN CUSHION BABUSHKA RED,20.1
20770,10,-20.099999999999998,2,ABSTRACT CIRCLE JOURNAL,20.099999999999998
23372,16,-20.0,1,SET 36 COLOUR PENCILS DOLLY GIRL,20.0
23086,16,-20.0,1,ZINC STAR T-LIGHT HOLDER,20.0
23016,3,-19.950000000000003,1,GLASS TWIST BON BON JAR,19.950000000000003
35957,1039,-19.92,3,Unknown product,19.92
23222,24,-19.919999999999998,2,CHRISTMAS TREE HANGING GOLD,19.919999999999998
23353,24,-19.919999999999998,2,6 GIFT TAGS VINTAGE CHRISTMAS,19.919999999999998
21360,31,-19.9,3,Show Samples,19.9
85132B,134,-19.9,3,Unknown product,19.9
22611,4,-19.8,2,VINTAGE UNION JACK SHOPPING BAG,19.8
85125,68,-19.8,2,check,19.8
22913,4,-19.8,2,RED COAT RACK PARIS FASHION,19.8
35922,34,-19.8,2,Unknown product,19.8
22182,4,-19.8,3,CAKE STAND VICTORIAN FILIGREE SMALL,19.8
21708,4,-19.8,2,FOLDING UMBRELLA CREAM POLKADOT,19.8
22500,4,-19.8,1,SET OF 2 TINS JARDIN DE PROVENCE,19.8
21682,160,-19.8,3,LARGE MEDINA STAMPED METAL BOWL,19.8
21173,90,-19.799999999999997,2,Unknown product,19.799999999999997
70007,12,-19.799999999999997,1,HI TEC ALPINE HAND WARMER,19.799999999999997
35651,12,-19.799999999999997,1,VINTAGE BEAD PINK SCARF,19.799999999999997
22021,32,-19.799999999999997,2,Unknown product,19.799999999999997
90170,12,-19.799999999999997,1,DAISY HAIR BAND,19.799999999999997
22074,12,-19.799999999999997,1,6 RIBBONS SHIMMERING PINKS,19.799999999999997
21911,39,-19.799999999999997,2,Unknown product,19.799999999999997
22075,12,-19.799999999999997,1,6 RIBBONS ELEGANT CHRISTMAS,19.799999999999997
22285,179,-19.799999999999997,3,Unknown product,19.799999999999997
85039B,12,-19.799999999999997,1,S/4 IVORY MINI ROSE CANDLE IN BOWL,19.799999999999997
22188,5,-19.75,3,BLACK HEART CARD HOLDER,19.75
84422,79,-19.57,3,Dagamed,19.57
84927E,196,-19.56,3,Unknown product,19.56
23142,2,-19.55,2,IVORY WIRE KITCHEN ORGANISER,19.55
22853,6,-19.5,1,CAT BOWL VINTAGE CREAM,19.5
22268,149,-19.310000000000002,9,check,19.310000000000002
21377,24,-19.200000000000003,1,SMALL CAMPHOR WOOD FIELD MUSHROOM,19.200000000000003
16237,91,-19.11,3,SLEEPING CAT ERASERS,19.11
22340,13,-19.049999999999997,2,NOEL GARLAND PAINTED ZINC,19.049999999999997
35965,58,-18.96,3,FOLKART HEART NAPKIN RINGS,18.96
84951A,24,-18.96,1,SET OF 4 PISTACHIO LOVEBIRD COASTER,18.96
90209A,9,-18.900000000000002,2,PURPLE ENAMEL+GLASS HAIR COMB,18.900000000000002
21973,191,-18.849999999999998,3,SET OF 36 MUSHROOM PAPER DOILIES,18.849999999999998
23196,13,-18.849999999999998,3,VINTAGE LEAF MAGNETIC NOTEPAD,18.849999999999998
21437,55,-18.75,4,Unknown product,18.75
47585A,13,-18.75,2,PINK FAIRY CAKE CUSHION COVER,18.75
23436,15,-18.75,2,VINTAGE CHRISTMAS GIFT BAG LARGE,18.75
85183A,9,-18.75,4,CHARLIE & LOLA WASTEPAPER BIN BLUE,18.75
22525,76,-18.75,5,Unknown product,18.75
90022,5,-18.75,2,EDWARDIAN DROP EARRINGS JET BLACK,18.75
22772,15,-18.75,3,PINK DRAWER KNOB ACRYLIC EDWARDIAN,18.75
21125,15,-18.75,4,SET 6 FOOTBALL CELEBRATION CANDLES,18.75
20765,5,-18.75,2,CHRYSANTHEMUM SKETCHBOOK,18.75
23406,24,-18.75,3,CHECK,18.75
23423,5,-18.75,3,PANTRY 3 HOOK ROLLING PIN HANGER,18.75
21467,5,-18.75,5,CHERRY CROCHET FOOD COVER,18.75
23401,3,-18.75,3,RUSTIC MIRROR WITH LACE HEART,18.75
23265,15,-18.75,2,SET OF 3 WOODEN TREE DECORATIONS,18.75
21009,150,-18.75,4,ETCHED GLASS STAR TREE DECORATION,18.75
23087,15,-18.75,1,ZINC HEART T-LIGHT HOLDER,18.75
21811,288,-18.72,2,check,18.72
85231G,132,-18.7,3,check,18.7
72598,22,-18.7,1,SET/12 TAPER CANDLES,18.7
20823,106,-18.6,2,Unknown product,18.6
22421,45,-18.6,5,LIPSTICK PEN FUSCHIA,18.6
20674,15,-18.560000000000002,3,GREEN POLKADOT BOWL,18.560000000000002
85186C,44,-18.48,2,BUNNY EGG GARLAND,18.48
22440,44,-18.48,4,BALLOON WATER BOMB PACK OF 35,18.48
85194S,29,-18.39,3,HANGING SPRING FLOWER EGG SMALL,18.39
20856,193,-18.15,4,??,18.15
21206,11,-18.15,4,STRAWBERRY HONEYCOMB GARLAND,18.15
21918,386,-18.06,10,Unknown product,18.06
84706B,21,-17.9,3,FAIRY CAKES TABLE CLOCK,17.9
90175B,2,-17.9,1,PINK GLASS CHUNKY CHARM BRACELET,17.9
21054,32,-17.9,2,Unknown product,17.9
84611B,1433,-17.85,3,thrown away,17.85
21552,27,-17.85,4,Unknown product,17.85
22248,21,-17.85,3,DECORATION PINK CHICK MAGIC GARDEN,17.85
21554,27,-17.85,3,Unknown product,17.85
21043,53,-17.85,3,Unknown product,17.85
78033,13,-17.85,3,FLAG OF ST GEORGE CHAIR,17.85
85016,53,-17.849999999999998,3,Unknown product,17.849999999999998
20767,7,-17.849999999999998,2,BLUE PAISLEY JOURNAL,17.849999999999998
21482,205,-17.700000000000003,3,Unknown product,17.700000000000003
21688,343,-17.700000000000003,2,mixed up,17.700000000000003
22495,6,-17.700000000000003,1,SET OF 2 ROUND TINS CAMEMBERT,17.700000000000003
21992,6,-17.700000000000003,1,VINTAGE PAISLEY STATIONERY SET,17.700000000000003
72799E,6,-17.700000000000003,1,IVORY PILLAR CANDLE SILVER FLOCK,17.700000000000003
22496,6,-17.700000000000003,3,SET OF 2 ROUND TINS DUTCH CHEESE,17.700000000000003
22895,1106,-17.700000000000003,3,SET OF 2 TEA TOWELS APPLE AND PEARS,17.700000000000003
20935,43,-17.700000000000003,2,Unknown product,17.700000000000003
90177A,6,-17.700000000000003,1,CLASSIC DIAMANTE EARRINGS JET,17.700000000000003
90177C,6,-17.700000000000003,1,DROP DIAMANTE EARRINGS CRYSTAL,17.700000000000003
21744,27,-17.700000000000003,2,check,17.700000000000003
84682,23,-17.700000000000003,5,Unknown product,17.700000000000003
21480,29,-17.700000000000003,2,Unknown product,17.700000000000003
84791,18,-17.700000000000003,3,Unknown product,17.700000000000003
35599D,6,-17.700000000000003,1,PINK AND WHITE CHRISTMAS TREE 120CM,17.700000000000003
22743,6,-17.700000000000003,1,MAKE YOUR OWN FLOWERPOWER CARD KIT,17.700000000000003
90177E,6,-17.700000000000003,1,DROP DIAMANTE EARRINGS GREEN,17.700000000000003
23597,6,-17.700000000000003,1,PAPER BUNTING PAISLEY PARK,17.700000000000003
90183A,6,-17.700000000000003,1,AMBER DROP EARRINGS W LONG BEADS,17.700000000000003
90182C,6,-17.700000000000003,1,BLACK 3 BEAD DROP EARRINGS,17.700000000000003
90177D,6,-17.700000000000003,1,DROP DIAMANTE EARRINGS PURPLE,17.700000000000003
20898,40,-17.700000000000003,3,check,17.700000000000003
90201C,6,-17.700000000000003,1,RED ENAMEL FLOWER RING,17.700000000000003
21611,48,-17.700000000000003,3,Unknown product,17.700000000000003
21612,52,-17.700000000000003,2,Unknown product,17.700000000000003
90168,6,-17.700000000000003,1,2 DAISIES HAIR COMB,17.700000000000003
90202D,6,-17.700000000000003,1,PINK ENAMEL FLOWER HAIR TIE,17.700000000000003
90202C,6,-17.700000000000003,1,GREEN ENAMEL FLOWER HAIR TIE,17.700000000000003
90202B,6,-17.700000000000003,1,WHITE ENAMEL FLOWER HAIR TIE,17.700000000000003
90202A,6,-17.700000000000003,1,PURPLE ENAMEL FLOWER HAIR TIE,17.700000000000003
21208,42,-17.64,5,PASTEL COLOUR HONEYCOMB FAN,17.64
21215,42,-17.64,1,IVORY PAPER CUP CAKE CASES,17.64
16216,110,-17.6,2,LETTER SHAPE PENCIL SHARPENER,17.6
22436,27,-17.55,3,12 COLOURED PARTY BALLOONS,17.55
85199L,277,-17.55,5,LARGE HANGING IVORY & RED WOOD BIRD,17.55
21643,23,-17.5,4,damaged,17.5
22409,34,-17.5,7,MONEY BOX BISCUITS DESIGN,17.5
22674,14,-17.5,3,FRENCH TOILET SIGN BLUE METAL,17.5
22524,76,-17.5,4,Unknown product,17.5
22402,14,-17.5,3,MAGNETS PACK OF 4 VINTAGE COLLAGE,17.5
21126,14,-17.5,2,SET OF 6 GIRLS CELEBRATION CANDLES,17.5
23425,7,-17.43,3,STORAGE TIN HOME SWEET HOME,17.43
21211,12,-17.4,1,SET OF 72 SKULL PAPER DOILIES,17.4
23138,12,-17.4,1,SINGLE WIRE HOOK IVORY HEART,17.4
22330,63,-17.4,2,Unknown product,17.4
23139,12,-17.4,1,SINGLE WIRE HOOK PINK HEART,17.4
23268,1452,-17.4,2,SET OF 2 CERAMIC CHRISTMAS REINDEER,17.4
23497,12,-17.4,1,CLASSIC CHROME BICYCLE BELL,17.4
23518,6,-17.34,1,EMBROIDERED RIBBON REEL RACHEL,17.34
23426,6,-17.34,1,METAL SIGN DROP YOUR PANTS,17.34
22096,18,-17.34,2,PINK PAISLEY SQUARE TISSUE BOX,17.34
20677,14,-17.310000000000002,3,PINK POLKADOT BOWL,17.310000000000002
40003,269,-17.099999999999998,9,Unknown product,17.099999999999998
85121C,17,-17.0,2,Unknown product,17.0
21895,29,-17.0,3,Unknown product,17.0
22862,37,-17.0,3,Unknown product,17.0
84819,4,-17.0,2,DANISH ROSE ROUND SEWING BOX,17.0
21315,4,-17.0,1,LARGE GLASS HEART TRINKET POT,17.0
22894,52,-17.0,2,TABLECLOTH RED APPLES DESIGN,17.0
20695,19,-17.0,3,Unknown product,17.0
90200B,4,-17.0,2,BLACK SWEETHEART BRACELET,17.0
84609,31,-17.0,2,damages,17.0
90200C,37,-17.0,3,Unknown product,17.0
78056,2,-17.0,2,CAMOUFLAGE BACKPACK ON WHEELS,17.0
90200A,4,-17.0,2,PURPLE SWEETHEART BRACELET,17.0
90024B,2,-17.0,1,NEW BAROQUE B'FLY NECKLACE RED,17.0
72803A,164,-17.0,5,damages,17.0
23244,9,-16.95,5,ROUND STORAGE TIN VINTAGE LEAF,16.95
46775A,1,-16.95,1,BUBBLE GUM CHUNKY KNITTED THROW,16.95
20894,6,-16.9,3,HANGING BAUBLE T-LIGHT HOLDER LARGE,16.9
21638,41,-16.8,2,Unknown product,16.8
85170B,8,-16.8,4,SET/6 BLACK BIRD T-LIGHT CANDLES,16.8
35980C,45,-16.72,2,Unknown product,16.72
23469,4,-16.6,2,CARD HOLDER LOVE BIRD SMALL,16.6
23461,4,-16.6,1,SWEETHEART BIRD HOUSE,16.6
23445,20,-16.599999999999998,1,ICE CREAM BUBBLES,16.599999999999998
22858,10,-16.5,3,EASTER TIN KEEPSAKE,16.5
85206A,87,-16.5,5,Unknown product,16.5
23541,2,-16.5,1,WALL ART CLASSIC PUDDINGS,16.5
23583,10,-16.5,1,LUNCH BAG PAISLEY PARK,16.5
23051,2,-16.5,2,RECYCLED ACAPULCO MAT BLUE,16.5
23187,99,-16.49,5,check,16.49
21822,9,-16.39,3,GLITTER CHRISTMAS TREE WITH BELLS,16.39
23000,39,-16.38,4,TRAVEL CARD WALLET TRANSPORT,16.38
23428,2,-16.3,1,IVORY RETRO KITCHEN WALL CLOCK,16.3
22976,13,-16.25,2,CIRCUS PARADE CHILDRENS EGG CUP,16.25
84569C,170,-16.25,4,Unknown product,16.25
21145,13,-16.25,2,ANTIQUE GLASS PLACE SETTING,16.25
21827,55,-16.25,2,Unknown product,16.25
21272,225,-16.25,5,?,16.25
20814,28,-16.25,2,Unknown product,16.25
22684,13,-16.25,3,FRENCH BLUE METAL DOOR SIGN 9,16.25
22252,13,-16.25,2,BIRDCAGE DECORATION TEALIGHT HOLDER,16.25
22805,13,-16.25,2,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,16.25
22414,2,-16.2,2,DOORMAT NEIGHBOURHOOD WITCH,16.2
21541,144,-16.15,4,Unknown product,16.15
22405,13,-16.06,2,MONEY BOX POCKET MONEY DESIGN,16.06
84536A,38,-15.959999999999999,2,ENGLISH ROSE NOTEBOOK A7 SIZE,15.959999999999999
84824,5,-15.95,2,DANISH ROSE UMBRELLA STAND,15.95
79340P,2,-15.9,2,PURPLE ORCHID FLOWER LIGHTS,15.9
84608,20,-15.9,2,Unknown product,15.9
84690,12,-15.9,2,S/2 BEACH HUT STOOLS,15.9
85135B,123,-15.9,5,Unknown product,15.9
84680,49,-15.9,3,Unknown product,15.9
21308,10,-15.9,2,Unknown product,15.9
21923,7,-15.9,3,Unknown product,15.9
85135C,76,-15.9,4,Damages,15.9
21317,3,-15.850000000000001,3,GLASS SPHERE CANDLE STAND MEDIUM,15.850000000000001
22314,4,-15.8,2,OFFICE MUG WARMER CHOC+BLUE,15.8
21880,24,-15.600000000000001,2,RED RETROSPOT TAPE,15.600000000000001
22422,24,-15.600000000000001,1,TOOTHPASTE TUBE PEN,15.600000000000001
47469,24,-15.600000000000001,1,ASSORTED SHAPES PHOTO CLIP SILVER,15.600000000000001
21264,8,-15.6,2,WHITE GOOSE FEATHER TREE 60CM,15.6
21460,8,-15.6,2,GREEN EASTER EGG HUNT START POST,15.6
22324,8,-15.6,1,BLUE POLKADOT KIDS BAG,15.6
22712,57,-15.54,5,CARD DOLLY GIRL,15.54
85124C,14,-15.3,3,Unknown product,15.3
90169,6,-15.299999999999999,1,DAISY HAIR COMB,15.299999999999999
90118,6,-15.299999999999999,1,PINK DAISY BAG CHARM,15.299999999999999
90208,6,-15.299999999999999,1,PAIR OF PINK FLOWER CLUSTER SLIDE,15.299999999999999
21587,59,-15.299999999999999,2,Unknown product,15.299999999999999
85124B,6,-15.299999999999999,1,BLUE JUICY FRUIT PHOTO FRAME,15.299999999999999
85083,6,-15.299999999999999,1,KISS REINDEER SCANDINAVIAN STOCKING,15.299999999999999
22129,18,-15.299999999999999,1,PARTY CONES CANDY TREE DECORATION,15.299999999999999
84508B,29,-15.299999999999999,2,Unknown product,15.299999999999999
22394,6,-15.299999999999999,1,PAPERWEIGHT KINGS CHOICE,15.299999999999999
22639,2566,-15.299999999999999,2,SET OF 4 NAPKIN CHARMS HEARTS,15.299999999999999
20771,6,-15.299999999999999,1,CHRYSANTHEMUM JOURNAL,15.299999999999999
90098,6,-15.299999999999999,1,NECKLACE+BRACELET PINK BUTTERFLY,15.299999999999999
22345,18,-15.299999999999999,1,PARTY PIZZA DISH BLUE POLKADOT,15.299999999999999
90101,6,-15.299999999999999,1,WHITE FRANGIPANI NECKLACE,15.299999999999999
84803B,9,-15.21,2,WHITE ALLIUM ARTIFICIAL FLOWER,15.21
84975,10,-15.21,5,Unknown product,15.21
23288,81,-15.17,5,GREEN VINTAGE SPOT BEAKER,15.17
22097,19,-15.15,3,SWALLOW SQUARE TISSUE BOX,15.15
21519,116,-15.120000000000001,4,GIN & TONIC DIET GREETING CARD,15.120000000000001
22718,36,-15.120000000000001,3,CARD CAT AND TREE,15.120000000000001
22024,126,-15.120000000000001,5,RAINY LADIES BIRTHDAY CARD,15.120000000000001
72586,536,-15.12,2,SET OF 6 HALLOWEEN GHOST T-LIGHTS,15.12
21801,74,-15.12,2,CHRISTMAS TREE DECORATION WITH BELL,15.12
84663A,15,-15.06,5,Unknown product,15.06
23153,4,-15.0,1,ZINC SWEETHEART WIRE LETTER RACK,15.0
22855,16,-15.0,2,Unknown product,15.0
23161,12,-15.0,1,REGENCY CAKE FORK,15.0
23412,32,-15.0,2,HEART MIRROR ANTIQUE WHITE,15.0
23574,2,-15.0,2,PACKING CHARGE,15.0
21066,12,-15.0,1,VINTAGE RED MUG,15.0
35976B,97,-15.0,3,Unknown product,15.0
21836,20,-15.0,3,Unknown product,15.0
90176C,2,-15.0,2,DIAMANTE NECKLACE,15.0
20762,4,-15.0,1,GREEN FERN SKETCHBOOK,15.0
23333,12,-15.0,1,IVORY WICKER HEART MEDIUM,15.0
20763,4,-15.0,1,DAISY SKETCHBOOK,15.0
23396,4,-15.0,1,LE JARDIN BOTANIQUE CUSHION COVER,15.0
20764,4,-15.0,1,ABSTRACT CIRCLES SKETCHBOOK,15.0
20766,4,-15.0,1,GARDEN PATH SKETCHBOOK,15.0
22756,5012,-15.0,2,LARGE YELLOW BABUSHKA NOTEBOOK,15.0
23352,12,-15.0,1,ROLL WRAP 50'S RED CHRISTMAS,15.0
22773,12,-15.0,1,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,15.0
23444,1,-15.0,1,Next Day Carriage,15.0
22108,4,-15.0,1,PING! MICROWAVE PLATE,15.0
85129A,76,-15.0,3,Unknown product,15.0
21692,80,-15.0,3,Unknown product,15.0
85169A,12,-15.0,1,IVORY LOVE BIRD CANDLE,15.0
85169C,12,-15.0,1,EAU DE NIL LOVE BIRD CANDLE,15.0
21990,12,-15.0,1,MODERN FLORAL STATIONERY SET,15.0
21991,12,-15.0,1,BOHEMIAN COLLAGE STATIONERY SET,15.0
21993,12,-15.0,1,FLORAL FOLK STATIONERY SET,15.0
21913,4,-15.0,3,VINTAGE SEASIDE JIGSAW PUZZLES,15.0
85200,64,-15.0,3,Unknown product,15.0
20761,4,-15.0,1,BLUE PAISLEY SKETCHBOOK,15.0
21438,30,-15.0,2,Unknown product,15.0
72801C,22,-15.0,2,check,15.0
20694,114,-15.0,2,?,15.0
22612,7,-15.0,2,Unknown product,15.0
22683,12,-15.0,2,FRENCH BLUE METAL DOOR SIGN 8,15.0
22403,12,-15.0,2,MAGNETS PACK OF 4 VINTAGE LABELS,15.0
82587,90,-15.0,3,Unknown product,15.0
21397,69,-15.0,2,damaged,15.0
82585,115,-15.0,3,Unknown product,15.0
22396,12,-15.0,2,MAGNETS PACK OF 4 RETRO PHOTO,15.0
22410,12,-15.0,1,MONEY BOX HOUSEKEEPING DESIGN,15.0
84509B,4,-15.0,1,SET OF 4 FAIRY CAKE PLACEMATS,15.0
84580,4,-15.0,1,MOUSE TOY WITH PINK T-SHIRT,15.0
90146,2,-15.0,1,FINE SILVER NECKLACE W PASTEL FLOWE,15.0
23289,12,-15.0,4,DOLLY GIRL CHILDRENS BOWL,15.0
21445,105,-15.0,3,12 PINK ROSE PEG PLACE SETTINGS,15.0
23213,12,-15.0,1,STAR WREATH DECORATION WITH BELL,15.0
23266,12,-15.0,1,SET OF 3 WOODEN STOCKING DECORATION,15.0
21010,71,-15.0,2,Unknown product,15.0
22256,12,-15.0,1,FELT FARM ANIMAL CHICKEN,15.0
21471,4,-15.0,3,STRAWBERRY RAFFIA FOOD COVER,15.0
22257,12,-15.0,1,FELT FARM ANIMAL SHEEP,15.0
90003E,4,-15.0,1,GREEN PAIR HEART HAIR SLIDES,15.0
22336,208,-14.950000000000001,3,damaged,14.950000000000001
21685,5,-14.95,2,MEDINA STAMPED METAL TRAY,14.95
21475,2,-14.95,2,Unknown product,14.95
22765,2,-14.95,2,Unknown product,14.95
85043,3,-14.850000000000001,3,RED HEART CANDY POP LIGHTS,14.850000000000001
23114,1443,-14.850000000000001,3,VINTAGE LEAF CHOPPING BOARD,14.850000000000001
21330,220,-14.85,3,Unknown product,14.85
22681,12,-14.81,3,FRENCH BLUE METAL DOOR SIGN 6,14.81
20779,3,-14.790000000000001,2,PINK EAR MUFF HEADPHONES,14.790000000000001
21897,27,-14.750000000000002,3,Unknown product,14.750000000000002
37494A,19,-14.75,4,Unknown product,14.75
21738,10,-14.75,2,Unknown product,14.75
21536,30,-14.700000000000001,8,DAIRY MAID SMALL MILK JUG,14.700000000000001
21653,143,-14.700000000000001,4,Unknown product,14.700000000000001
20795,7,-14.7,3,LARGE BLUE PROVENCAL CERAMIC BALL,14.7
79190A,34,-14.67,3,RETRO PLASTIC 70'S TRAY,14.67
23241,7,-14.56,5,TREASURE TIN GYMKHANA DESIGN,14.56
21186,10,-14.5,1,WHITE DOVE HONEYCOMB PAPER GARLAND,14.5
85144,40,-14.5,3,Unknown product,14.5
22899,7,-14.450000000000001,5,CHILDREN'S APRON DOLLY GIRL,14.450000000000001
22262,17,-14.45,3,FELT EGG COSY CHICKEN,14.45
23178,5,-14.45,3,JAM CLOCK MAGNET,14.45
21455,17,-14.45,2,PAINTED YELLOW WOODEN DAISY,14.45
22046,34,-14.28,2,TEA PARTY WRAPPING PAPER,14.28
85062,9,-14.27,5,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,14.27
82616B,10,-14.2,2,FRAPPUCINO SCARF KNITTING KIT,14.2
47562,7,-14.2,3,Unknown product,14.2
16259,3301,-14.100000000000001,5,Unknown product,14.100000000000001
21090,228,-14.04,4,WET/MOULDY,14.04
23380,36,-14.04,2,PACK OF 12 VINTAGE DOILY TISSUES,14.04
85179A,3,-13.950000000000001,1,GREEN BITTY LIGHT CHAIN,13.950000000000001
85007,16,-13.950000000000001,2,Unknown product,13.950000000000001
15044C,5,-13.95,4,PURPLE PAPER PARASOL,13.95
72225C,1883,-13.919999999999998,4,Unknown product,13.919999999999998
85230G,48,-13.919999999999998,1,ORANGE VOTIVE CANDLE,13.919999999999998
21983,48,-13.919999999999998,2,PACK OF 12 BLUE PAISLEY TISSUES,13.919999999999998
84918,25,-13.9,2,CREAM CUSHION COVER WITH FLOWERS,13.9
90050,2,-13.9,1,CRACKED GLAZE NECKLACE IVORY,13.9
84868B,13,-13.9,3,Unknown product,13.9
20730,271,-13.75,4,Unknown product,13.75
20716,93,-13.75,3,Unknown product,13.75
72755C,128,-13.75,3,Unknown product,13.75
22677,11,-13.75,2,FRENCH BLUE METAL DOOR SIGN 2,13.75
22678,11,-13.75,2,FRENCH BLUE METAL DOOR SIGN 3,13.75
10135,11,-13.75,2,COLOURING PENCILS BROWN TUBE,13.75
22682,11,-13.75,2,FRENCH BLUE METAL DOOR SIGN 7,13.75
22676,11,-13.75,2,FRENCH BLUE METAL DOOR SIGN 1,13.75
90058A,36,-13.68,1,CRYSTAL STUD EARRINGS CLEAR DISPLAY,13.68
